TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.1914171,289449.6,288312.7,148962.3,92540,1416.553,2244.48,49.905,143.36,45.56214,344.96
0.1928229,523035.1,462954.3,347110.4,205945.6,760.9863,1545.6,19608.5,18737.6,237.6227,555.52
0.1930629,515644.6,291786.9,582109.2,304447.4,-84.0414,781.76,20504.65,12980.8,615.9932,698.88
0.1950857,359260.2,233059.7,356765.8,218061.8,1261.054,1551.2,5391.018,5109.44,314.4405,484.96
0.1962057,387864.4,253498.6,402777.5,215740,-82.76346,937.44,501.8983,586.88,151.2962,368.48
0.19768,418405.3,291266.1,304903.8,161630.6,1433.545,1963.36,212.8977,417.76,198.7319,413.28
0.1992572,214105.5,169578.1,329534.7,244809.6,447.0006,1439.2,1098.083,1284.64,305.8631,885.92
0.20032,206078.8,147901.6,253434.3,180541.8,493.4509,1108.8,390.5435,529.76,217.2081,583.52
0.2029371,494684.3,310633.1,487213.6,248175.2,1274.473,2197.44,832.6706,936.32,905.1888,837.76
0.2036229,226413.5,178645.6,263449.1,170829.1,362.9809,1141.28,306.3288,498.4,148.188,684.32
0.20464,228461.5,177962.4,268756.7,158259.4,343.9416,1571.36,84.23635,238.56,236.2582,479.36
0.2078629,221146.3,188270.9,236244.5,169675.5,341.8839,1540,515.9016,596.96,459.6069,632.8
0.2093143,228862.9,182628.3,326620,262453,299.7657,987.84,237.4386,516.32,230.9839,393.12
0.2114743,516120.2,433266.4,376460.9,241949.1,1804.486,2344.16,24318.54,21646.24,340.4543,593.6
0.2119657,285727.7,249846.2,243501.2,164653.4,849.598,1559.04,14660.95,15981.28,269.7556,551.04
0.21456,388128.4,285620.2,393642.3,261490.9,1658.616,1650.88,477.6064,530.88,142.0581,332.64
0.2155886,427163.9,277809.3,434001.6,196135.5,1048.85,1805.44,326.7001,411.04,145.3721,368.48
0.2169029,365206.6,332682.6,297244.4,212088.8,2020.243,2625.28,22490.11,21985.6,347.1148,761.6
0.2169143,226344.1,149573.8,322921.8,242281.8,898.1384,1111.04,7239.073,6454.56,366.3599,697.76
0.2172571,445757.8,288429.1,459088.5,258375,1412.069,1827.84,3017.66,2984.8,377.0275,411.04
0.2174857,425090.8,295384.3,447256,240732.8,639.4512,1477.28,630.8521,651.84,168.4185,442.4
0.2179543,288897.2,211789.8,374461.7,266827.7,1797.663,1930.88,538.2441,658.56,210.3309,698.88
0.2200343,554524.3,483775,337036.5,199215.5,1786.79,2140.32,22563.58,21777.28,701.0309,1715.84
0.2210857,605224.6,521736.3,336690.6,194069.1,886.8643,1822.24,32903.66,29739.36,788.5596,893.76
0.2219429,434254.9,273953.1,539513.8,274836.8,2079.906,2126.88,3604.347,2414.72,260.5825,400.96
0.22208,285579.7,233895.2,247438.2,171507.8,1434.271,2856,14867.44,15184.96,395.0921,946.4
0.2233029,434987.4,290535.8,484519.6,231025.8,408.6947,1457.12,325.3572,519.68,606.0512,999.04
