TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.1420114,314516.4,321369.4,164864.2,117159.8,27.23765,314.72,116.0118,219.52,239.1173,458.08
0.1425257,434577.2,317030.6,263219.9,154483.8,313.6282,528.64,338.0609,385.28,-99.95079,225.12
0.1453714,508243.4,320329,421097.2,209734.6,453.1305,579.04,555.2148,592.48,224.4209,473.76
0.1461829,336728.9,243344.6,324645.5,191390.1,264.6763,593.6,217.2947,340.48,127.8491,371.84
0.14776,290516.1,296088.8,141757.2,110358.1,16.12599,271.04,214.1973,381.92,75.79972,348.32
0.14808,303501.8,263053.3,225566.5,172424,363.5332,675.36,113.0877,295.68,427.4307,563.36
0.1488114,378229,285993.1,300515.7,179790.2,872.3195,1006.88,198.1579,213.92,335.9815,582.4
0.1519314,470467.1,294376.3,383997.8,195419.8,129.2786,489.44,568.5141,568.96,166.8157,388.64
0.1528686,456853.5,323796.5,300858.7,197765.1,197.8114,365.12,276.5786,320.32,133.8706,341.6
0.1537943,214859,184365.4,235422.4,190777.4,389.1897,566.72,184.5229,291.2,565.4926,685.44
0.1540229,591566.4,426617,399996.1,213572.8,-22.80815,337.12,714.5361,997.92,925.6576,731.36
0.1544,309236.1,272970.9,248904.2,192511.2,137.2388,329.28,328.1947,573.44,339.7612,460.32
0.1556571,340206.2,257835.2,321610.3,223136.5,215.811,497.28,376.6593,504,296.051,617.12
0.1570057,361195.6,391802.9,224606.3,172445.3,212.3345,592.48,220.5112,284.48,162.3645,367.36
0.1578171,523715.7,350370.7,491195.5,246815.5,485.8048,721.28,812.0609,719.04,414.857,675.36
0.1580571,385262.3,285521.6,344074,204155.8,335.061,792.96,459.7693,530.88,356.7103,573.44
0.1581714,421077.3,305809.3,284657.6,193322.1,243.4277,506.24,406.6478,453.6,436.6796,670.88
0.1612114,307057.8,313438.7,150820.9,89757.92,187.4145,453.6,271.2718,281.12,218.2261,449.12
0.1627543,345596.3,263278.4,303499.3,196985.6,332.7325,471.52,346.3676,376.32,144.7332,640.64
0.1632686,262220.8,227346.6,242583,178086.7,294.329,660.8,200.2806,301.28,460.679,498.4
0.1642514,342103.4,278071.4,241606.9,165298.6,297.8596,611.52,359.277,443.52,379.4101,623.84
0.1644,539577.2,332516.8,450003.3,208186.7,560.9439,676.48,536.3705,657.44,272.4414,403.2
0.16488,414411.5,300690.9,335662.7,194820.6,600.4737,544.32,329.5268,416.64,316.1733,840
0.1653714,550329.3,376886.7,461798.6,230372.8,687.4392,575.68,628.4694,621.6,365.3527,480.48
0.16608,348395,261177.3,354346.4,205621.9,371.8399,743.68,550.9478,616,269.2357,364
0.1684114,511829.1,337059.5,419962.9,214910.1,511.0497,525.28,581.8135,627.2,236.3231,400.96
0.1695657,344203,221704,349580.3,238293.4,518.1434,694.4,562.341,789.6,145.8378,402.08
0.1701257,411060.8,290810.3,320245.4,193408.3,363.0351,367.36,447.3147,440.16,445.2679,1021.44
0.1732686,280124.5,267886.1,196146.9,132949.6,381.7169,584.64,264.0698,348.32,106.503,301.28
0.1743771,371358.4,276392.5,286652,171195.4,420.7485,619.36,409.9293,590.24,367.4212,548.8
0.17496,297504.1,300608,165456.8,130061.1,150.6464,478.24,166.0251,294.56,32.56604,478.24
0.1772343,297063.3,298543.8,164758.5,125621.4,-23.12222,421.12,209.2696,397.6,308.7006,1033.76
0.1774971,258976.3,264137.4,179022.1,156326.2,198.2554,413.28,189.9163,318.08,381.0888,451.36
0.1787657,272088.8,254105.6,193653.4,133903.8,65.98766,300.16,340.9417,536.48,99.88581,459.2
0.1811771,299479.1,321397.4,91621.66,68761.28,257.4851,479.36,146.8342,321.44,529.9266,789.6
0.1821029,276471.4,267491.8,170836.4,127117.8,421.2251,558.88,224.67,383.04,202.4683,339.36
0.1822971,269794.9,270322.1,170107.2,145126.2,134.5096,351.68,167.433,313.6,32.17616,295.68
0.1850629,497417.4,344245.4,355599,179342.2,297.6647,495.04,471.39,641.76,468.4984,685.44
0.1856686,255162.5,258732.3,156095.5,118633.8,146.1086,486.08,121.5026,209.44,452.4157,822.08
0.1864686,251151.8,190657.6,310655.6,233978.1,72.72398,336,303.253,406.56,257.5501,599.2
0.1870057,292594.4,281927.5,175975.6,134984.6,350.4938,489.44,296.2568,380.8,351.7501,567.84
0.1874286,278252.2,197926.4,319219.3,214543.8,685.0891,840,522.1506,624.96,215.5727,403.2
0.1876229,297904.1,236796,243720.7,162381,246.6117,946.4,551.2618,638.4,125.748,369.6
0.188,343454.5,237578.9,335802.5,208579.8,159.0505,735.84,431.3295,560,244.6515,589.12
0.1905714,309257.4,302649.8,158534.4,108711.7,319.4765,535.36,327.8698,477.12,243.9042,497.28
0.1914743,482740.5,324166.1,339376.7,196911.7,363.4574,561.12,544.5797,544.32,256.6729,544.32
0.19304,512371.7,296012.7,524306.9,231430.1,772.217,856.8,798.5667,660.8,463.4732,567.84
0.1932343,355752,286097.3,229912.4,141000.2,42.64885,524.16,324.5233,358.4,411.034,564.48
0.1945029,270131,287825.4,118972.2,96050.08,83.51073,316.96,211.6847,358.4,176.9743,624.96
0.1948457,362427.4,260265.6,331475.4,220545.9,297.3723,433.44,512.7609,564.48,246.6767,626.08
